Id,Price,Class,Sub_Class,Latitude,Longitude,Park_Proximity,Location,Sub_Location,Transportation_Access,Radius,Image_Path
Refreshment Port,Value $,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Joffrey's Coffee & Tea Company,Value $,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
La Cellier Steakhouse,High $$$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Canada,"Bus, Skyliner",10,
Monsieur Paul,High $$$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,France,"Bus, Skyliner",10,
Space 220,High $$$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Discovery,"Bus, Skyliner",10,
Epcot,$109/Day,Park,,28.3764687,-81.5494034,Epcot,Epcot,Epcot,"Bus, Skyliner",20,
Akershus Royal Bankquet Hall,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Norway,"Bus, Skyliner",10,
Biergarten,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Germany,"Bus, Skyliner",10,
Block & Hans,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Chefs de France,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,France,"Bus, Skyliner",10,
Connections Eatery,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Celebration,"Bus, Skyliner",10,
Coral Reaf,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
Crepes des Chefs de France,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,France,"Bus, Skyliner",10,
Fife & Drum Tavern,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,The American Adventure,"Bus, Skyliner",10,
Garden Grill,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
Garden House,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
Gelateria Toscano,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Italy,"Bus, Skyliner",10,
Katsura Grill,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Japan,"Bus, Skyliner",10,
L'Artisan des Glaces,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,France,"Bus, Skyliner",10,
La Cantina de San Angel,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Mexico,"Bus, Skyliner",10,
La Cava del Tequila,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Mexico,"Bus, Skyliner",10,
La Creperie de Paris,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,France,"Bus, Skyliner",10,
La Hacienda de San Angel,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Mexico,"Bus, Skyliner",10,
Les Vins des Chefs de France,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,France,"Bus, Skyliner",10,
Lotus Blossom Café,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,China,"Bus, Skyliner",10,
Nine Dragons,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,China,"Bus, Skyliner",10,
Regal Eagle,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,The American Adventure,"Bus, Skyliner",10,
Restaurant Marrakesh,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Morocco,"Bus, Skyliner",10,
Rose & Crown Pub,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,United Kingdom,"Bus, Skyliner",10,
San Angel Inn,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Mexico,"Bus, Skyliner",10,
Spice Road Table,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Morocco,"Bus, Skyliner",10,
Takumi-Tei,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Japan,"Bus, Skyliner",10,
Tangerine Café,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Morocco,"Bus, Skyliner",10,
Teppan Edo,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Japan,"Bus, Skyliner",10,
Test Track Cool Wash,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Discovery,"Bus, Skyliner",10,
The Land Cart,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
Tokyo Dining,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Japan,"Bus, Skyliner",10,
Tutto Gusto Wine Cellar,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Italy,"Bus, Skyliner",10,
Tutto Italia,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,Italy,"Bus, Skyliner",10,
Yorkshire County Fish Shop,Medium $$,Dining,,28.3764687,-81.5494034,Epcot,Epcot,United Kingdom,"Bus, Skyliner",10,
Pin Traders - Camera Center,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Celebration,"Bus, Skyliner",10,
Gateway Gifts,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Celebration,"Bus, Skyliner",10,
Club Cool,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Celebration,"Bus, Skyliner",10,
Creations Shop,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Celebration,"Bus, Skyliner",10,
Treasures of Xandar,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Discovery,"Bus, Skyliner",10,
Port of Entry,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Disney Traders,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Karamell Kuche,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Art of Disney,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
La Signature,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
L'Espirit de la Provence,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
World Traveler,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
The Tea Caddy,Medium $$,Shopping,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Spaceship Earth,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Celebration,"Bus, Skyliner",10,
Disney & Pixar Short Film Festival,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Celebration,"Bus, Skyliner",10,
Journey Into Imagination with Figment,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Celebration,"Bus, Skyliner",10,
Guardians of the Galaxy: Cosmic Rewind,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Discovery,"Bus, Skyliner",10,
Mission: SPACE,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Discovery,"Bus, Skyliner",10,
Test Track,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Discovery,"Bus, Skyliner",10,
Awesome Planet,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
Soarin Around the World,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
Living with the Land,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
The Seas with Nemo & Friends,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
Turtle Talk with Crush,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
SeaBase,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Nature,"Bus, Skyliner",10,
Gran Fiesta Tour Starring the Three Caballeros,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Meet Anna & Elsa at Royal Sommerhus,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Frozen Ever After,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Reflections of China,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
America Gardens Theater,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
The American Adventure,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Palais du Cinema Beauty and the Beast Sing-Along,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Palais du Cinema Impressions de France,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Remy's Ratatouille Adventure,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Canada Far and Wide in Circle Vision 360,None,Attraction,,28.3764687,-81.5494034,Epcot,Epcot,World Showcase,"Bus, Skyliner",10,
Citricos,High $$$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Narcoossee's,High $$$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Victoria & Albert's,High $$$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Grand Floridian,Deluxe $$$,Resort,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
1900 Park Fare,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Beaches Pool Bar,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Courtyard Pool Bar,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Enchanted Rose,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Garden View Tea Room,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Gasparilla Grill & Games,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Grand Floridian Café,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Perfectly Princess Tea Party,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Victoria & Albert's Chef's Table,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Wonderland Tea Party,Medium $$,Dining,,28.4108559,-81.5881411,Magic Kingdom,Grand Floridian,Grand Floridian,"Bus, Boat, Monorail",10,
Catalina Eddies,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
PizzeRizzo,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Grand Avenue,"Bus, Skyliner",10,
Woody's Lunch Box,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Toy Story Land,"Bus, Skyliner",10,
ABC Commissary,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Commisary Lane,"Bus, Skyliner",10,
Backlot Express,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Dockside Diner,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Epic Eats,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Ronto Roosters,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
Market,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Animation Courtyard,"Bus, Skyliner",10,
Joffrey's Coffee & Tea Company,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Animation Courtyard,"Bus, Skyliner",10,
Sunshine Day Bar,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Joffrey's Coffee & Tea Company,Value $,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Hollywood Brown Derby,High $$$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Hollywood Boulevard,"Bus, Skyliner",10,
Hollywood Studios,$109/Day,Park,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Hollywood Studios,"Bus, Skyliner",20,
50s Prime Time Café,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Anaheim Produce,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
BaseLine Tap House,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Grand Avenue,"Bus, Skyliner",10,
Docking Bay 7 Food & Cargo,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
Fairfax Fare,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Hollywood & Vine,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Hollywood Scoops,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Kat Saka's Kettle,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
KRNR The Rock Station,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Mama Melrose's Ristorante Italiano,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Grand Avenue,"Bus, Skyliner",10,
Neighborhood Bakery,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Pixar Place,"Bus, Skyliner",10,
Oga's Cantina,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
Rosie's All American,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Round Up Rodeo BBQ,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Toy Story Land,"Bus, Skyliner",10,
SciFi Dine-In Theater,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Commisary Lane,"Bus, Skyliner",10,
The Trolley Car Café,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Hollywood Boulevard,"Bus, Skyliner",10,
Tune-In Lounge,Medium $$,Dining,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Sid Cahuenga's One of a Kind,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Hollywood Boulevard,"Bus, Skyliner",10,
Mickey's of Hollywood,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Hollywood Boulevard,"Bus, Skyliner",10,
Keystone Clothiers,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Hollywood Boulevard,"Bus, Skyliner",10,
Celebrity 5 & 10,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Hollywood Boulevard,"Bus, Skyliner",10,
Oscar's Super Service,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Hollywood Boulevard,"Bus, Skyliner",10,
Tatooine Traders,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Frozen Fractal Gifts,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Resistance Supply,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
The Market Merchants,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
Dok-Ondar's Den of Antiquities,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
Savi's Workshop,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
Droid Depot,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
First Order Cargo,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
Sunset Ranch Pins & Souvenirs,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Once Upon a Time,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Legends of Hollywood,Medium $$,Shopping,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Mickey & Minnie's Runaway Railway,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Hollywood Boulevard,"Bus, Skyliner",10,
Indiana Jones Epic Stunt Spectacular!,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Star Tours The Adventures Continue,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Celebrity Spotlight,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Vacation Fun,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
"For the First Time in Forever: A ""Frozen"" Sing-Along Celebration",None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Echo Lake,"Bus, Skyliner",10,
Mickey & Minnie at Red Carpet Dreams,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Commisary Lane,"Bus, Skyliner",10,
Muppet Vision 3D,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Grand Avenue,"Bus, Skyliner",10,
Star Wars Rise of the Resistance,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
Millennium Falcon Smugglers Run,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Star Wars Galaxy's Edge,"Bus, Skyliner",10,
Alien Swirling Saucers,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Toy Story Land,"Bus, Skyliner",10,
Slinky Dog Dash,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Toy Story Land,"Bus, Skyliner",10,
Toy Story Mania!,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Toy Story Land,"Bus, Skyliner",10,
Walt Disney Presents Gallery & Exhibits,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Animation Courtyard,"Bus, Skyliner",10,
Walt Disney Presents The Walt Disney Theater,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Animation Courtyard,"Bus, Skyliner",10,
Disney Junior Play & Dance,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Animation Courtyard,"Bus, Skyliner",10,
Rock 'N' Roller Coaster Starring Aerosmith,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Lightning McQueen's Racing Academy,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
The Twilight Zone Tower of Terror,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Beauty and the Beast Live on Stage,None,Attraction,,28.3580628,-81.5590975,Hollywood Studios,Hollywood Studios,Sunset Boulevard,"Bus, Skyliner",10,
Casey's Corner,Value $,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,"Main Street, USA","Bus, Boat, Monorail",10,
Sleepy Hollow,Value $,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Liberty Square,"Bus, Boat, Monorail",10,
The Friar's Nook,Value $,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Fantasyland,"Bus, Boat, Monorail",10,
The Lunching Pad,Value $,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Tomorrowland,"Bus, Boat, Monorail",10,
Aloha Isle,Value $,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Adventureland,"Bus, Boat, Monorail",10,
Columbia Harbor House,Value $,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Liberty Square,"Bus, Boat, Monorail",10,
Pecos Bill Tall Tale Inn & Café,Value $,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Frontierland,"Bus, Boat, Monorail",10,
Cinderella's Royal Table,High $$$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Fantasyland,"Bus, Boat, Monorail",10,
Magic Kingdom,$109/Day,Park,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Magic Kingdom,"Bus, Boat, Monorail",20,
Auntie Gravity's Galactic Goodies,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Tomorrowland,"Bus, Boat, Monorail",10,
Be Our Guest,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Fantasyland,"Bus, Boat, Monorail",10,
Cheshire Café,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Fantasyland,"Bus, Boat, Monorail",10,
Cool Ship,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Tomorrowland,"Bus, Boat, Monorail",10,
Cosmic Ray's Starlight Café,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Tomorrowland,"Bus, Boat, Monorail",10,
Gaston's Tavern,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Fantasyland,"Bus, Boat, Monorail",10,
Golden Oak Outpost,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Frontierland,"Bus, Boat, Monorail",10,
Jungle Navigation Co. Ltd. Skipper Canteen,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Adventureland,"Bus, Boat, Monorail",10,
Liberty Square Market,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Liberty Square,"Bus, Boat, Monorail",10,
Liberty Tree Tavern,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Liberty Square,"Bus, Boat, Monorail",10,
Main Street Bakery,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,"Main Street, USA","Bus, Boat, Monorail",10,
Pinocchio Village Haus,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Fantasyland,"Bus, Boat, Monorail",10,
Plaza Ice Cream Parlor,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,"Main Street, USA","Bus, Boat, Monorail",10,
Prince Eric's Village Market,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Fantasyland,"Bus, Boat, Monorail",10,
Storybook Treats,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Fantasyland,"Bus, Boat, Monorail",10,
Sunshine Tree Terrace,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Adventureland,"Bus, Boat, Monorail",10,
The Crystal Palace,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,"Main Street, USA","Bus, Boat, Monorail",10,
The Diamond Horseshoe,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Liberty Square,"Bus, Boat, Monorail",10,
The Plaza Restaurant,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,"Main Street, USA","Bus, Boat, Monorail",10,
Tomorrowland Terrace,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Tomorrowland,"Bus, Boat, Monorail",10,
Tony's Town Square,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,"Main Street, USA","Bus, Boat, Monorail",10,
Tortuga Tavern,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Adventureland,"Bus, Boat, Monorail",10,
Westward Ho,Medium $$,Dining,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Frontierland,"Bus, Boat, Monorail",10,
Emporium,Medium $$,Shopping,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,"Main Street, USA","Bus, Boat, Monorail",10,
Uptown Jewelers,Medium $$,Shopping,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,"Main Street, USA","Bus, Boat, Monorail",10,
Main Street Confectionary,Medium $$,Shopping,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,"Main Street, USA","Bus, Boat, Monorail",10,
Plaza del Sol Caribe Bazaar,Medium $$,Shopping,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Adventureland,"Bus, Boat, Monorail",10,
Frontier Trading Post,Medium $$,Shopping,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Frontierland,"Bus, Boat, Monorail",10,
Ye Olde Christmas Shoppe,Medium $$,Shopping,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Liberty Square,"Bus, Boat, Monorail",10,
Memento Mori,Medium $$,Shopping,,28.418579,-81.5812062,Magic Kingdom,Magic Kingdom,Liberty Square,"Bus, Boat, Monorail",10,
